price,charges,surface,disposition,address,district
15900,4000,33,DISP_1_KK,"Sicherova, Praha - Kyje",Praha-Kyje
44000,7500,129,DISP_4_1,"Medkova, Praha - Chodov",Praha-Chodov
17000,2990,26,DISP_1_KK,"V Zahradách, Praha - Libeň",Praha-Libeň
9000,3500,88,DISP_3_1,"Nehvizdská, Praha - Hloubětín",Praha-Hloubětín
20490,0,57,DISP_2_KK,"Janýrova, Praha - Strašnice",Praha-Strašnice
25000,5000,60,DISP_2_KK,"Bolzanova, Praha - Nové Město",Praha-Nové Město
13500,1000,30,DISP_1_1,"U Skládky, Praha - Libeň",Praha-Libeň
16500,2800,27,DISP_1_KK,"Jemnická, Praha - Michle",Praha-Michle
19500,3800,50,DISP_1_1,"Práčská, Praha - Záběhlice",Praha-Záběhlice
28300,7700,72,DISP_3_KK,"Na Výtoni, Praha - Nové Město",Praha-Nové Město
24900,169,34,DISP_1_KK,"Mukařovského, Praha - Stodůlky",Praha-Stodůlky
41702,7359,0,UNDEFINED,"náměstí Jiřího z Poděbrad, Praha - Vinohrady",Praha-Vinohrady
418747,73896,750,UNDEFINED,"Karla Tomáše, Praha - Horní Počernice",Praha-Horní Počernice
59095,10428,38,UNDEFINED,"Školská, Praha - Nové Město",Praha-Nové Město
30906,5454,53,UNDEFINED,"Zbraslavská, Praha - Malá Chuchle",Praha-Malá Chuchle
14000,0,23,DISP_1_KK,"Čenětická, Praha - Chodov",Praha-Chodov
33900,4000,65,DISP_2_1,"Na lysině, Praha - Podolí",Praha-Podolí
25000,4200,52,DISP_2_KK,"Na Výšině, Říčany - Říčany u Prahy, Středočeský kraj",Říčany
49000,11500,139,DISP_4_1,"U Smaltovny, Praha - Holešovice",Praha-Holešovice
24000,4000,53,DISP_2_KK,"Pod Harfou, Praha - Vysočany",Praha-Vysočany
58787,10374,80,UNDEFINED,"Na Hutích, Praha - Bubeneč",Praha-Bubeneč
60689,28365,44,UNDEFINED,"Rybná, Praha - Staré Město",Praha-Staré Město
45650,8056,46,UNDEFINED,"Míšeňská, Praha - Malá Strana",Praha-Malá Strana
69161,32325,53,UNDEFINED,"Rybná, Praha - Staré Město",Praha-Staré Město
29000,5500,80,DISP_3_KK,"Sazovická, Praha - Zličín",Praha-Zličín
18500,3500,57,DISP_2_1,"Úhonická, Jeneč - Jeneč u Prahy, Středočeský kraj",Jeneč
20146,8403,80,UNDEFINED,"Voskovcova, Praha - Hlubočepy",Praha-Hlubočepy
24490,0,61,DISP_2_KK,"Přeučilova, Praha - Stodůlky",Praha-Stodůlky
16500,0,34,DISP_1_KK,"Kadečkové, Praha - Letňany",Praha-Letňany
25990,0,68,DISP_2_1,"Herálecká IV, Praha - Krč",Praha-Krč
28961,5111,25,UNDEFINED,"Freyova, Praha - Vysočany",Praha-Vysočany
14450,2950,25,DISP_1_KK,"Vrážská, Praha - Radotín",Praha-Radotín
18000,3800,43,DISP_2_KK,"Cílkova, Praha - Kamýk",Praha-Kamýk
