item,title,price,packaging
spagety,De Cecco Spaghetti,84.9,500.0 g
spagety,ALNATURA BIO špagety,54.9,500.0 g
spagety,Panzani Linguine,44.9,500.0 g
spagety,Casino Celozrnné špagety,29.9,500.0 g
spagety,ALNATURA BIO Celozrnné špagety,54.9,500.0 g
spagety,Panzani Spaghetti,57.9,500.0 g
spagety,Metro Chef Spaghetti,69.9,1.0 kg
spagety,Zátkovy vaječné těstoviny Špagety,39.9,500.0 g
spagety,Hamé Špagety s boloňskou omáčkou,99.9,450.0 g
spagety,Pasta di Gragnano Spaghetti al bronzo těstoviny,114.9,500.0 g
spagety,Melissa Spaghetti,44.9,500.0 g
spagety,Adriana Těstoviny špagety semolinové,44.9,600.0 g
spagety,Metro Chef Spaghettini ,69.9,1.0 kg
spagety,Come a Casa Boloňské špagety,89.9,400.0 g
spagety,Viva Směs masová na špagety,69.9,400.0 g
spagety,Monoprix BIO Špagety semolinové,49.9,500.0 g
spagety,Panzani Linguine,57.9,500.0 g
pesto,Franz Josef Kaiser Bazalkové pesto alla Genovese,74.9,190.0 g
pesto,Panzani Bazalkové pesto,84.9,200.0 g
pesto,ALNATURA BIO Pesto bazalkové bez sýru a bez česneku,89.9,130.0 g
pesto,Arisi Bazalkové pesto alla Genovese,69.9,130.0 g
pesto,Živina Bazalkové Pesto ,159.9,140.0 g
pesto,Casino Bazalkové pesto,64.9,190.0 g
pesto,Barilla Basilico rajčatová omáčka s bazalkou,84.9,400.0 g
pesto,Arisi Bazalkové pesto s rajčaty,69.9,130.0 g
pesto,Knorr Professional Primerba bazalka,519.0,340.0 g
pesto,Salemipina Omáčka z rajčat s bazalkou BIO,69.9,250.0 g
pesto,Monoprix BIO Rajčatová omáčka s bazalkou,49.9,200.0 g
pesto,Fermato Fermentovaná salátová zálivka Bazalka,194.9,347.0 ml
pesto,Monoprix Rajčatová omáčka s bazalkou,34.9,190.0 g
ryze,ARO Rýže dlouhozrnná,38.9,1.0 kg
ryze,Bask Dlouhozrnná loupaná rýže,79.9,1.0 kg
ryze,Lagris Rýže loupaná ve varných sáčcích,74.9,800.0 g
ryze,Vitana Rýže loupaná ve varných sáčcích 4x100g,39.9,400.0 g
ryze,Lagris Rýže loupaná ve varných sáčcích,39.9,400.0 g
ryze,Essa Rýže parboiled,49.9,1.0 kg
ryze,Vitana Rýže dlouhozrnná,299.9,5.0 kg
ryze,ARO Rýže dlouhozrnná parboiled,34.9,1.0 kg
ryze,Lagris Rýže loupaná,74.9,1.0 kg
ryze,Metro Chef Rýže dlouhozrnná parboiled,199.9,5.0 kg
ryze,ARO Rýže loupaná sypaná,24.9,500.0 g
ryze,Lagris Rýže loupaná,239.9,5.0 kg
ryze,Essa Rýže černá,99.9,1.0 kg
ryze,ARO Rýže dlouhozrnná parboiled varné sáčky,24.88,500.0 g
ryze,Lagris Rýže dlouhozrnná basmati,399.9,5.0 kg
ryze,Menu Gold Rýže loupaná ve varných sáčcích 8x100g,49.9,800.0 g
ryze,Menu Gold Rýže loupaná,74.9,1.0 kg
ryze,Metro Chef Parboiled Rýže dlouhozrnná,49.9,1.0 kg
ryze,Lagris Rýže dlouhozrnná,69.9,1.0 kg
ryze,Monoprix BIO Thajská rýže,79.9,500.0 g
mrazena_zelenina,ARO Zeleninová směs s kukuřicí,23.9,400.0 g
mrazena_zelenina,FRoSTA Zelenina na pánev na italský způsob,79.9,400.0 g
mrazena_zelenina,ARO Jarní směs,25.9,400.0 g
mrazena_zelenina,ARO Polévková zeleninová směs,21.9,400.0 g
mrazena_zelenina,Agro Směs čínská mražená,19.9,350.0 g
mrazena_zelenina,ARO  Čínská směs,23.9,400.0 g
mrazena_zelenina,FRoSTA Zelenina na pánev Wok,79.9,400.0 g
mrazena_zelenina,ARO  Zeleninová směs pod svíčkovou,19.9,400.0 g
mrazena_zelenina,Agro Směs Jesenická mražená,17.9,350.0 g
mrazena_zelenina,Agro Směs Baby Mix mražená,22.9,350.0 g
mrazena_zelenina,Agro Směs Mexico mražená,19.9,350.0 g
mrazena_zelenina,Mochov Polévková směs Mochovanka,24.9,350.0 g
mrazena_zelenina,Agro Směs Asie mražená,18.9,350.0 g
mrazena_zelenina,Agro Dýně Hokaido mražená,25.9,450.0 g
mrazena_zelenina,ARO  Kukuřice,26.9,400.0 g
mrazena_zelenina,Mochov Polabanka polévková směs,24.9,350.0 g
mrazena_zelenina,Fine Life Brokolice ,36.9,405.0 g
mrazena_zelenina,Fine Life Hrášek velmi jemný ,28.9,450.0 g
mrazena_zelenina,Metro Chef Směs s brokolicí,84.9,1.0 kg
mrazena_zelenina,ARO Směs polévková,114.9,2.5 kg
mrazena_zelenina,ARO  Hrášek,24.8,400.0 g
mrazena_zelenina,Frigoexim Lázeňská zeleninová směs,174.9,2.5 kg
mrazena_zelenina,ARO Špenátový protlak,17.9,400.0 g
mrazena_zelenina,Fine Life Fazolové lusky krájené,24.9,450.0 g
mrazena_zelenina,ARO Špenát sekaný,31.9,400.0 g
mrazena_zelenina,ARO Směs pod svíčkovou,114.9,2.5 kg
mrazena_zelenina,Gastro Směs hub,99.9,1.0 kg
mrazena_zelenina,Fine Life Směs polévková,24.9,450.0 g
mrazena_zelenina,Metro Chef Směs Euromix,199.9,2.5 kg
mrazena_zelenina,FRoSTA Grilovaná zelenina na středomořský způsob,349.0,1.5 kg
kureci_prsa,Fine Life Kuřecí prsní řízky,94.9,500.0 g
kureci_prsa,Selský kuřecí prsní řízek,157.029,510.0 g
kureci_prsa,Authentic Farmářská kuřecí prsa bez kůže a kosti 3ks,248.91699999999992,830.0 g
kureci_prsa,"EMI Food Kuřecí prsa bez kosti, volný chov",199.9,540.0 g
kureci_prsa,Metro Chef Výběrový kuřecí prsní řízek ,164.08300000000003,670.0 g
kureci_prsa,Rabbit Venkovské prsní řízky bez kůže,214.34899999999996,710.0 g
kureci_prsa,Fine Life Kuřecí stehenní řízky,99.9,500.0 g
kureci_prsa,Kuřecí prsní řízky,219.9,1.0 kg
kureci_prsa,Metro Chef Kuřecí prsní řízky 8x150g,264.9,1.2 kg
kureci_prsa,Authentic Farmářské kuřecí nudličky,197.14199999999997,580.0 g
kureci_prsa,"Kuřecí prsní řízky, mražené",134.9,500.0 g
kureci_prsa,Heny Kuřecí prsní filety v bylinkové marinádě,171.92000000000002,800.0 g
kureci_prsa,Vilgain Kuřecí prsa se solí a pepřem,69.9,100.0 g
kureci_prsa,GymBeam Kuřecí prsa ve vlastní šťávě,79.9,155.0 g
kureci_prsa,Authentic Krůtí prsa bez kosti a kůže,223.6,650.0 g
kureci_prsa,Metro Chef Kuřecí stehno horní bez kosti a kůže,277.046,1.54 kg
kureci_prsa,Poké by Simona Brazilské kuřecí prso s teriaki omáčkou,129.9,450.0 g
kureci_prsa,Kuřecí prsní řízek,351.84000000000003,1.6 kg
kureci_prsa,Metro Chef Kuřecí prsa Supreme,299.875,1.25 kg
kureci_prsa,Metro Chef Výběrové kuřecí prsní řízky s kůží ,229.9,1.0 kg
kureci_prsa,"Sokol Falco MERI kuřecí prsa bez kosti, konzerva pro kočky ",84.9,400.0 g
kureci_prsa,Ronsard BIO Kuřecí prsa bez kosti a kůže,452.16200000000003,380.0 g
kureci_prsa,"Kuřecí stehna bez kosti a kůže, mražená",299.9,2.5 kg
kureci_prsa,GymBeam Kuřecí prsa ve slunečnicovém oleji,89.9,155.0 g
kureci_prsa,Kuřecí prsa s kostí a kůží,214.9,450.0 g
kureci_prsa,Metro Chef Krůtí prsa,273.18,870.0 g
kureci_prsa,Metro Chef Kuřecí prsa Supreme,382.35,1.5 kg
kureci_prsa,KMS Hluk Kuřecí prsa na gril Sous-vide,284.9,1.0 kg
kureci_prsa,Kuřecí stehno bez kosti a kůže,799.6,4.0 kg
