zone,district,disposition_clean,avg_rent,avg_m2_price,count
outer_or_suburbs,Hrdlořezy,3+KK,47000.0,529.2866082603255,2
outer_or_suburbs,Háje,1+KK,22200.0,652.9411764705883,1
outer_or_suburbs,Háje,2+KK,26226.0,528.8225832138876,5
outer_or_suburbs,Háje,3+KK,30300.0,490.3518123667377,2
outer_or_suburbs,Jeneč,2+1,22000.0,385.96491228070175,1
outer_or_suburbs,Kamýk,2+KK,26681.25,532.5344148499798,8
outer_or_suburbs,Kamýk,3+1,35440.0,426.9879518072289,1
outer_or_suburbs,Kamýk,GARSONIERA,18700.0,719.2307692307693,1
outer_or_suburbs,Kbely,1+KK,23500.0,734.375,1
outer_or_suburbs,Kbely,2+KK,21490.0,422.532196969697,2
outer_or_suburbs,Kbely,3+KK,22490.0,295.92105263157896,1
outer_or_suburbs,Komořany,2+KK,23200.0,493.6170212765957,1
outer_or_suburbs,Královice,1+KK,17000.0,377.77777777777777,1
outer_or_suburbs,Krč,1+1,16248.0,492.3636363636364,1
outer_or_suburbs,Krč,1+KK,19925.0,617.2727272727273,4
outer_or_suburbs,Krč,2+1,24994.0,445.0056567360854,5
outer_or_suburbs,Krč,2+KK,21681.666666666668,465.426541841176,6
outer_or_suburbs,Krč,3+1,35000.0,460.5263157894737,1
outer_or_suburbs,Krč,3+KK,21990.0,392.67857142857144,1
outer_or_suburbs,Krč,4+1,32400.0,381.1764705882353,1
outer_or_suburbs,Kunratice,2+KK,15490.0,344.22222222222223,1
outer_or_suburbs,Kyje,1+1,23850.0,397.5,1
outer_or_suburbs,Kyje,1+KK,19722.5,560.2760747004934,4
outer_or_suburbs,Kyje,2+KK,20660.0,475.8256196119606,3
outer_or_suburbs,Kyje,3+KK,27990.0,345.55555555555554,1
outer_or_suburbs,Kyje,GARSONIERA,19800.0,582.3529411764706,1
outer_or_suburbs,Křeslice,GARSONIERA,11400.0,670.5882352941177,1
outer_or_suburbs,Lahovice,2+KK,23700.0,246.875,1
outer_or_suburbs,Letňany,1+KK,20486.333333333332,582.6309771647337,9
outer_or_suburbs,Letňany,2+1,17990.0,315.6140350877193,1
outer_or_suburbs,Letňany,2+KK,25165.0,495.73235127473646,12
outer_or_suburbs,Letňany,3+KK,32965.0,483.968253968254,3
outer_or_suburbs,Lhotka,2+1,29578.0,492.96666666666664,1
outer_or_suburbs,Lhotka,3+1,23990.0,342.7142857142857,1
outer_or_suburbs,Lhotka,3+KK,35500.0,403.40909090909093,1
outer_or_suburbs,Libeř,1+KK,20000.0,555.5555555555555,1
outer_or_suburbs,Liboc,1+KK,18500.5,869.5869565217391,2
outer_or_suburbs,Liboc,2+1,24000.0,406.77966101694915,1
outer_or_suburbs,Liboc,2+KK,25400.0,725.7142857142857,1
outer_or_suburbs,Libuš,2+KK,24645.0,536.4389534883721,2
outer_or_suburbs,Libuš,4+KK,42000.0,385.3211009174312,1
outer_or_suburbs,Lipence,1+KK,17000.0,708.3333333333334,1
outer_or_suburbs,Lipence,2+KK,34256.0,360.58947368421053,1
outer_or_suburbs,Lysolaje,1+KK,24000.0,436.3636363636364,1
outer_or_suburbs,Malešice,1+KK,19496.666666666668,623.2931121166415,3
outer_or_suburbs,Malešice,2+1,27250.0,534.3137254901961,1
outer_or_suburbs,Malešice,3+1,34900.0,478.0821917808219,1
outer_or_suburbs,Malá Chuchle,2+KK,23500.0,671.4285714285714,1
outer_or_suburbs,Modřany,1+1,15990.0,444.1666666666667,1
outer_or_suburbs,Modřany,1+KK,21473.4,570.2050907079898,5
outer_or_suburbs,Modřany,2+KK,28871.428571428572,509.7362896710139,7
outer_or_suburbs,Modřany,3+1,40400.0,531.578947368421,1
outer_or_suburbs,Modřany,3+KK,38266.0,466.6585365853659,1
outer_or_suburbs,Modřany,4+1,11500.0,127.77777777777777,1
outer_or_suburbs,Modřany,4+KK,47300.0,525.5555555555555,1
outer_or_suburbs,Motol,1+1,21000.0,500.0,1
outer_or_suburbs,Motol,2+KK,33500.0,573.2424485431702,2
outer_or_suburbs,Nupaky,3+KK,27300.0,354.54545454545456,1
outer_or_suburbs,Pitkovice,1+KK,23500.0,618.421052631579,1
outer_or_suburbs,Přední Kopanina,1+KK,24600.0,482.3529411764706,1
outer_or_suburbs,Přezletice,2+KK,23500.0,451.9230769230769,1
outer_or_suburbs,Přezletice,3+KK,37900.0,360.95238095238096,1
outer_or_suburbs,Radotín,1+KK,16299.666666666666,684.1954656862745,3
outer_or_suburbs,Radotín,3+1,39800.0,346.0869565217391,1
outer_or_suburbs,Ruzyně,1+KK,16490.0,634.2307692307693,1
outer_or_suburbs,Ruzyně,2+KK,26000.0,541.6666666666666,1
outer_or_suburbs,Ruzyně,3+1,12000.0,146.34146341463415,1
outer_or_suburbs,Ruzyně,3+KK,13000.0,224.13793103448276,1
outer_or_suburbs,Ruzyně,4+KK,44500.0,342.3076923076923,1
outer_or_suburbs,Ruzyně,GARSONIERA,14000.0,690.1913875598086,2
outer_or_suburbs,Sedlec,2+1,23000.0,433.9622641509434,1
outer_or_suburbs,Stodůlky,1+1,20000.0,500.0,1
outer_or_suburbs,Stodůlky,1+KK,22517.6,669.2620738729846,10
outer_or_suburbs,Stodůlky,2+1,27800.0,397.14285714285717,1
outer_or_suburbs,Stodůlky,2+KK,25499.85714285714,489.6779942152425,21
outer_or_suburbs,Stodůlky,3+1,25030.0,315.4999544391459,3
outer_or_suburbs,Stodůlky,3+KK,32307.14285714286,411.73326115955297,7
outer_or_suburbs,Stodůlky,4+KK,38300.0,375.4901960784314,1
outer_or_suburbs,Stodůlky,GARSONIERA,11800.0,491.6666666666667,1
outer_or_suburbs,Střížkov,1+1,17750.0,623.1971153846154,2
outer_or_suburbs,Střížkov,1+KK,20155.0,633.040057915058,2
outer_or_suburbs,Střížkov,2+KK,25180.0,562.6424617508128,5
outer_or_suburbs,Suchdol,1+KK,24000.0,436.3636363636364,1
outer_or_suburbs,Suchdol,2+1,31500.0,484.61538461538464,1
outer_or_suburbs,Suchdol,4+KK,13500.0,135.0,1
outer_or_suburbs,Troja,3+1,29495.0,393.90180265654647,4
outer_or_suburbs,Troja,3+KK,31000.0,455.88235294117646,1
outer_or_suburbs,Třebonice,1+KK,17490.0,583.0,1
outer_or_suburbs,Třebonice,2+KK,21490.0,457.2340425531915,1
outer_or_suburbs,Uhříněves,1+KK,19433.333333333332,582.9471182412359,3
outer_or_suburbs,Uhříněves,2+KK,22872.5,451.87403782509426,4
